NAME,TOT_POP,TOT_MALE,TOT_FEMALE,4 year population change,4 year population change pct,Mean Sale Price,Mean Sale Price 5 yr Percent Change,Median Sale Price,Median Sale Price 5 yr Percent Change,Top Tier ZHVI,Top Tier ZHVI 5 yr Percent Change,Mid Tier ZHVI,Mid Tier ZHVI 5 yr Percent Change,Bottom Tier ZHVI,Bottom Tier ZHVI 5 yr Percent Change,Income Needed for Monthly Home Payment,Income Needed for Monthly Home Payment 5 yr Percent Change,Income Needed for Monthly Rent Payment,Income Needed for Monthly Rent Payment 5 yr Percent Change,New Construction Sale Counts (Monthly),New Construction Sale Counts (Monthly) 5 yr Percent Change,Mean Days to Pending,Mean Days to Pending 5 yr Percent Change,Share of Listings with Price Cut,Share of Listings with Price Cut 5 yr Percent Change,Zillow Market Heat Index,Zillow Market Heat Index 5 yr Percent Change,Zillow Observed Rent Index (ZORI),ZORI 5 yr Percent Change
"San Francisco-Oakland-Fremont, CA",4648486,2315027,2333459,-105169,-0.022123818409203078,1437249.0,0.21257672205418943,1161375.0,0.22249999999999992,1605752.435948206,0.16502265819888384,985179.1874401307,0.12391181593174738,592415.8935441545,0.1206935146968573,171858.55729147673,0.5806901010411178,103501.5288978081,0.20879405247130234,303.0,-0.6831683168316831,26.0,0.6923076923076923,0.1561268456353465,0.3762849086199671,111.0,-0.4054054054054054,2584.0683635017326,0.21041720800117258
"New York-Newark-Jersey City, NY-NJ",19940274,9722142,10218132,-143138,-0.007127175402267261,847341.0,0.43652179515000267,656688.0,0.42758260869565223,929480.0890678288,0.25646859097479835,531156.8457371482,0.33491962926749697,328901.9966724282,0.44628260775762163,116400.44349847847,0.6693515297246084,93964.51181266876,0.44646238327786336,700.0,-0.45999999999999996,66.0,-0.09090909090909094,0.1497051171284982,0.03924180043641723,77.0,-0.1558441558441559,2356.1374249645773,0.44214987483314094
"Los Angeles-Long Beach-Anaheim, CA",12927614,6394633,6532981,-277043,-0.02098070400465535,1250508.0,0.3066617904443458,947186.0,0.2975150684931507,1166018.8726355815,0.38120786957669095,715515.196948643,0.3268277246589648,487288.4176321037,0.35565077888823327,126498.77181526338,0.8118820485956062,89671.27338009224,0.3047139846284279,569.0,-0.5799648506151143,32.0,0.65625,0.1559515742955733,0.5002231383664131,83.0,-0.3132530120481928,2254.0799796153474,0.29759553184100174
"Chicago-Naperville-Elgin, IL-IN",9408576,4631974,4776602,-45787,-0.004842949228837545,411258.0,0.28150892598397714,327317.0,0.28359607843137247,420027.15562958986,0.32290861823662476,253299.70379222007,0.338092677838538,149839.99699067717,0.4328831261517725,58230.07825462926,0.6576209822707335,60367.88531366048,0.3760887042662213,614.0,-0.09934853420195444,43.0,-0.2325581395348837,0.2586141346373192,0.1267058720744998,58.0,-0.051724137931034475,1511.54027189081,0.37395553769552126
"Dallas-Fort Worth-Arlington, TX",8344032,4134816,4209216,705774,0.09239986394803634,491722.0,0.3483545983772207,379187.0,0.2853796610169492,438578.4189636124,0.3961281233473286,277755.4381559534,0.30349567441087144,182694.25070727788,0.340540069700072,61918.98505267303,0.665863411015793,53156.04080807904,0.26305238113377594,2168.0,-0.024446494464944624,44.0,0.5454545454545454,0.1791753326552436,0.8479500574373862,70.0,-0.34285714285714286,1336.728276556668,0.25565653640607633
"Houston-Pasadena-The Woodlands, TX",7796182,3867729,3928453,645949,0.09033957354956135,432112.0,0.3316486591431582,324778.0,0.2736392156862746,398064.3870712411,0.3111921971134286,239039.27512182787,0.27711282863721065,157750.69784814867,0.29583371386927815,50494.28851827236,0.6946047952578893,53728.7483876886,0.22539231820429917,2435.0,-0.04353182751540041,50.0,0.54,0.2184738525636846,0.32453469209893226,59.0,-0.27118644067796616,1347.9482750475752,0.22109276668426858
"Miami-Fort Lauderdale-West Palm Beach, FL",6457988,3170380,3287608,319631,0.05207109980732638,670086.0,0.5370883941781648,467250.0,0.4906683681607913,570204.2057716671,0.5380464229461097,321852.3070774063,0.4628691102453715,178391.94082370788,0.4422039994128033,69587.12617871967,0.9269738178564695,69917.53027843976,0.5263409618616222,700.0,-0.6671428571428571,79.0,0.31645569620253156,0.1342281786643863,0.537430910093764,47.0,-0.25531914893617025,1752.4938785927975,0.5223732265169785
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6436489,3163503,3272986,157894,0.02514798294841447,683727.0,0.29926592568804034,556368.0,0.2760733944954128,759692.8938614378,0.24527077993580737,468250.1706290607,0.22814216485084016,295648.83790055464,0.26639425668354666,87325.38301708268,0.6757788291489844,74950.0529716334,0.27071534320592994,1265.0,-0.56600790513834,22.0,0.6818181818181819,0.1669630316702522,0.6750966189500538,74.0,-0.22972972972972971,1885.5830927517184,0.2627417833144039
"Atlanta-Sandy Springs-Roswell, GA",6411149,3109052,3302097,304344,0.04983686231998563,454408.0,0.4155571477524065,355903.0,0.36361302681992336,440294.491369833,0.4227161954903842,272128.8208857949,0.391931643348014,173811.96263424325,0.4579191314909512,52948.58420467912,0.8864058101910433,55723.53588754709,0.3354764322796433,2888.0,-0.6540858725761773,40.0,0.825,0.1776827831955793,0.7188702548271868,67.0,-0.3731343283582089,1410.316261255939,0.3191627818790892
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6330422,3074073,3256349,85405,0.013675703364778746,423605.0,0.3734368262181975,351701.0,0.35269615384615394,447690.2021633833,0.39323439087546075,273899.4555878201,0.37921221117603343,153659.07162278998,0.44296605508925335,56635.98019399938,0.808726957477991,57811.996072110174,0.2986701126419229,677.0,-0.6809453471196455,33.0,0.030303030303030276,0.1829999800022799,0.40172410713621765,71.0,-0.2676056338028169,1441.0769908143932,0.30247571659222405
